question,context,response,is_hallucination,hallucination_type
암보험 가입 시 가족력은 어떤 영향을 미치나요?,"가족력은 보험 가입 심사에서 중요한 요인으로 평가되며, 암 발생 위험도를 높게 평가받을 수 있습니다. 가족력이 있을 경우 보험료가 할증되거나 가입 조건에 제한이 있을 수 있습니다.",가족력은 암 발생 위험 평가에 영향을 미쳐 보험료 할증이나 가입 제한이 발생할 수 있습니다. 정확한 고지로 계약 유지에 유리한 조건을 확보할 수 있습니다.,False,
암보험의 “계약 전 알릴 의무”는 구체적으로 어떤 항목을 포함하나요?,"계약 전 알릴 의무는 피보험자의 건강 상태, 기존 병력, 치료 이력, 직업 및 위험 활동 등을 포함합니다. 이 의무를 위반할 경우 계약 해지 또는 보험금 지급 거절 등의 불이익이 있을 수 있습니다.","계약 전 알릴 의무는 건강 상태, 병력, 치료 이력, 직업 등을 포함합니다. 의무 위반 시 계약 해지나 보험금 지급 거절의 불이익이 발생할 수 있습니다.",False,
암보험의 특약 가입 시 보험료는 어떻게 달라지나요?,특약 가입 시 보험료는 선택한 특약의 보장 범위와 한도에 따라 추가로 부과됩니다. 특약이 많을수록 보험료가 높아질 가능성이 있습니다.,"특약 가입은 보험료를 증가시키며, 보장 범위와 한도에 따라 비용이 결정됩니다. 특약 선택 시 보험료 부담을 고려해야 합니다.",False,
특정 암이 아닌 희귀암 진단 시에도 보장이 되나요?,"희귀암은 약관에 명시된 조건에 따라 보장이 이루어지며, 특약을 통해 추가 보장을 받을 수 있습니다. 보장 여부는 계약 당시 선택한 상품 및 특약에 따라 다릅니다.","희귀암은 약관 조건에 따라 보장되며, 특약 가입 시 보장이 확대될 수 있습니다. 가입 시 보장 조건을 확인하는 것이 중요합니다.",False,
암보험의 가입 연령 제한은 몇 세까지인가요?,"암보험의 가입 연령 제한은 보험사별로 상이하며, 일반적으로 만 60세에서 70세까지로 설정됩니다. 가입 가능 연령은 약관에 명시되어 있습니다.",암보험 가입 연령 제한은 보통 만 60세에서 70세 사이로 설정됩니다. 정확한 연령 제한은 약관에서 확인 가능합니다.,False,
암보험의 면책 기간 중 발생한 암은 보장받을 수 없는 이유는?,면책 기간은 보험 가입 초기에 발생할 수 있는 도덕적 해이를 방지하기 위해 설정됩니다. 이 기간 동안 발생한 암은 보장에서 제외됩니다.,"면책 기간은 도덕적 해이를 방지하기 위해 설정되며, 이 기간 중 발생한 암은 보장되지 않습니다. 가입 초기 위험 관리를 위한 조치입니다.",False,
암보험의 “감액 지급 조건”은 계약자의 어떤 행동에 의해 영향을 받나요?,감액 지급 조건은 계약 초기에 발생하는 보험금 청구 시 적용됩니다. 계약자가 약관에 명시된 대로 보험료를 납부하지 않거나 고지 의무를 위반한 경우 영향을 받을 수 있습니다.,감액 지급 조건은 계약 초기에 보험금 청구가 발생할 때 적용됩니다. 고지 의무 위반 또는 보험료 미납은 영향을 미칠 수 있습니다.,False,
암보험에서 보장하지 않는 암 치료법은 무엇인가요?,보장되지 않는 치료법은 약관에 명시된 비급여 치료나 실험적 치료 등이 포함됩니다. 각 보험사의 약관에 따라 보장 여부가 달라질 수 있습니다.,암보험은 비급여 치료나 실험적 치료를 보장하지 않을 수 있습니다. 보장 여부는 약관에서 확인 가능합니다.,False,
암보험 가입 후 특약을 추가하려면 어떻게 해야 하나요?,"특약 추가는 보험사에 신청하여 승인을 받아야 하며, 추가 심사나 보험료 조정이 필요할 수 있습니다. 특약 추가 가능 여부는 약관에 명시되어 있습니다.","특약 추가를 위해 보험사에 신청해야 하며, 승인이 필요합니다. 추가 심사 및 보험료 조정이 이루어질 수 있습니다.",False,
암보험에서 “보장 개시일”과 “보험 증권 발급일”의 차이는 무엇인가요?,"보장 개시일은 면책 기간 이후 보장이 시작되는 날이며, 보험 증권 발급일은 계약이 성립된 날짜를 의미합니다. 이 두 날짜는 서로 다를 수 있습니다.","보장 개시일은 면책 기간 이후 보장이 시작되는 날이며, 보험 증권 발급일은 계약 성립일을 의미합니다. 두 날짜는 다를 수 있으므로 약관을 확인하세요.",False,
암보험의 “보험 수익자” 지정 방법은 무엇인가요?,"보험 수익자는 계약자가 지정하며, 지정된 수익자에게 보험금이 지급됩니다. 수익자는 계약 체결 시 또는 이후에 변경할 수 있으며, 변경 시 서면 신청이 필요합니다.","보험 수익자는 계약자가 지정하며, 변경 시 서면 신청이 필요합니다. 지정된 수익자에게 보험금이 지급됩니다.",False,
암보험 가입 시 전자 서명으로도 계약이 가능한가요?,전자 서명은 암보험 계약 체결 시 유효한 법적 서명으로 인정됩니다. 보험사는 전자 서명을 통한 계약 절차를 제공할 수 있습니다.,암보험은 전자 서명을 통해 계약 체결이 가능합니다. 전자 서명은 법적으로 유효합니다.,False,
